,cod,artista,nombre,tempo,energy,loudness,danceability,valence,Clasificacion
49,3GtnId3Cm1Xa6joCj08nzW,Justin Quiles,Jeans,83.943,0.656,-4.395,0.807,0.89,0
79,1KQMzEI7jSUnorFHNKFAEh,Trio Los Garles,Bandas,152.052,0.898,-4.058,0.696,0.962,0
78,37jCyQSarX1KQ00HvCtKm5,Trio Los Garles,Andina,116.758,0.916,-2.302,0.805,0.701,0
77,26sY1gS62pBMmxIJlLrB8s,Trio Los Garles,Los Comuneros,118.725,0.865,-3.03,0.864,0.826,0
76,5zkMLiPw25E62qkHNi69Wd,Los Titos,Lágrimas de escarcha / Mujer ingrata / Traicionera,142.725,0.801,-5.3,0.784,0.966,0
32,2GYHyAoLWpkxLVa4oYTVko,Stromae,Alors on danse,119.951,0.59,-9.206,0.791,0.714,0
75,0KzhgGmmOuGJIUuQ0am3Qo,Miguel Angel​​​​​​​,Flor de un día,107.91,0.835,-3.269,0.865,0.88,0
73,6GuZsICZkJ5BaliZvd1DWa,Don Medardo y Sus Players,Casita de Pobres (1980),195.47,0.67,-6.551,0.654,0.946,0
72,2iET48T7DEMSl6zgCqk5AE,Paco Godoy,Diablo Huma,126.578,0.656,-7.487,0.854,0.871,0
70,0bMVCO35RJiUhAfvFsLjIF,RBD,Este Corazón,159.996,0.619,-4.811,0.497,0.756,0
26,1GT0Q2ZTeKtIBueYKr4vhr,Juan Luis Guerra 4.40,La Bilirrubina - En Vivo Estadio Olímpico De República Dominicana/2012,138.264,0.977,-3.57,0.585,0.801,0
38,2UREu1Y8CO4jXkbvqAtP7g,Skillet,Monster,134.992,0.957,-2.336,0.64,0.692,0
62,4qmXbnmZxZy9pavpf3YfP5,Ricardo Arjona,Historia de Taxi,147.107,0.718,-7.345,0.717,0.672,0
60,20pmVJoqcnabJJO6OCW1ZS,Molotov,Puto,120.048,0.777,-5.385,0.827,0.75,0
42,6nTiIhLmQ3FWhvrGafw2zj,Green Day,American Idiot,186.113,0.988,-2.042,0.38,0.769,0
43,19ScoKGqnfUggyqOVQjsoH,Café Tacvba,La ingrata,142.942,0.835,-5.731,0.748,0.896,0
44,7aggjK7OqZJrnHAy36au6r,Mr Black El Presidente,El Serrucho,115.983,0.958,-4.146,0.947,0.801,0
45,1xK1Gg9SxG8fy2Ya373oqb,Myke Towers,Bandido,168.021,0.617,-4.637,0.713,0.682,0
46,7vrJn5hDSXRmdXoR30KgF1,KAROL G,BICHOTA,163.908,0.666,-4.158,0.863,0.838,0
57,5YyetAy34sgROhslaW3BZc,Molotov,Frijolero,95.009,0.653,-4.304,0.774,0.845,0
55,6tu2FHuKL9C8pwNrityweQ,Hombres G,Te quiero,112.309,0.711,-5.503,0.736,0.719,0
54,1Wrzhfa5bNlqvsnCztz190,Hombres G,Devuélveme a mi chica,172.676,0.843,-7.597,0.603,0.503,0
63,4TR6e2sBy2PzTnfu6MnLFD,Ricardo Arjona,Mujeres,105.678,0.719,-6.48,0.766,0.851,0
52,6bvfJf4KjonPMuPfGfy3S2,Nio Garcia,La Jeepeta - Remix,176.013,0.714,-4.65,0.814,0.789,0
25,6TH0DaGWoBVIBka0Vf9GCf,Wilfrido Vargas,El Hombre Divertido,155.206,0.914,-4.004,0.725,0.871,0
